name_zh_CN,name_ja_JP,name_en_US,player_family,native_roles,viable_classes_for_single_requirement,enabled_playthroughs_union,candidate_keys,candidate_rows,costs,candidate_count,family_rule
独眼鬼,一つ目鬼,One-eyed Oni,O,1;3,1;2,1;2;3;4;5,0x0003B86E;0x00075D9B,349;351,3,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
独脚踏鞴,一本だたら,Ippon-Datara,O,1,1;2,1;2;3;4;5,0x00006CD3;0x000561AC;0x000D1662,333;334;483,3,3,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
狱卒鬼,獄卒鬼,Jailer Oni,O,0;1;2,1;2,1;2;3;4;5,0x0001A2E6;0x000232D5;0x00026C12;0x0003CF7D;0x00099943;0x000A6DDA;0x000B77A6;0x000BC496;0x000C0618;0x000D0779;0x000E1ABA;0x000E6F42;0x000E8E25;0x000F3566,253;254;255;256;257;258;259;260;261;262;263;264;265;266,1;1.5;3,14,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
猥裸,わいら,Waira,O,1,1;2,1;2;3;4;5,0x0001C4B5,358,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
猿鬼,猿鬼,Enki,O,1,1;2,1;2;3;4;5,0x0001AA93,344,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
盗贼,賊,Outlaw,O,0;2,1;2,1;2;3;4;5,0x00015F5F;0x0002A8E0;0x00032352;0x00033599;0x0003ADE7;0x00046B29;0x000560BB;0x0009AB7E;0x000A308E;0x000B319D;0x000B3C30;0x000BD71E;0x000C1BCB;0x000D4C14;0x000D7FCB;0x000DB7A5,119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134,1,16,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
祸津武士,禍ツ武者,Magatsu Warrior,O,1,1;2,1;2;3;4;5,0x0006CAA5,364,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
肉瘤怪,ぬっぺふほふ,Nuppeppo,O,1,1;2,1;2;3;4;5,0x000DCB98,368,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
蛤蟆附身,蝦蟇憑き,Gamatsuki,O,0,1;2,1;2;3;4;5,0x000D1F46,475,1,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
蜘蛛,蜘蛛,Spider,O,0,1;2,1;2;3;4;5,0x00004388;0x000810E4;0x000BC877,365;366;367,1;2,3,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
见越入道,見越し入道,Mikoshi Nyudo,O,1,1;2,1;2;3;4;5,0x0003EC8A;0x000594DC;0x0006F167;0x00091574;0x00091A67;0x000BADDA,281;282;283;477;478;479,3,6,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
赤河童,赤河童,Red Kappa,O,0;1,1;2,1;2;3;4;5,0x00027DBB;0x0006314C,473;474,1.5,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
轮入道,輪入道,Wheelmonk,O,1,1;2,1;2;3;4;5,0x000705DD,332,2,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
邪马台国兵,邪馬台国兵士,Yamatai Soldier,O,0;1;2;3,1;2,1;2;3;4;5,0x00018153;0x00018995;0x0002B2FE;0x0002C4D2;0x00049FE8;0x00057799;0x0005D272;0x0005EFD6;0x00060C91;0x000651FC;0x00066D81;0x0006A31C;0x0007F4E0;0x0008A965;0x00096602;0x000A1235,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,1;2,16,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
野槌,野槌,Nozuchi,O,1,1;2,1;2;3;4;5,0x0004A66A;0x0008BE37,269;270,3,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
野武士,野武士,Rogue,O,1,1;2,1;2;3;4;5,0x0000BB7D;0x0000DE8C;0x0001091E;0x0001DF33;0x0002E7A5;0x00041889;0x00041BA8;0x00044443;0x0004AC17;0x0005432C;0x0006D1D2;0x00074C54;0x000751E6;0x00085AE5;0x0009742B;0x000A4F31;0x000AC522;0x000C8B29;0x000C8C02;0x000D7383;0x000F345E,135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155,1,21,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
铁鼠,鉄鼠,Tesso,O,2,1;2,1;2;3;4;5,0x00017C7B,388,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
镰仓武士,鎌倉武士,Kamakura Warrior,O,0;1;2;3,1;2,1;2;3;4;5,0x00002551;0x00006C34;0x000244A5;0x0002BE81;0x0002EE71;0x00043B3D;0x0004B993;0x0004F412;0x0006FABC;0x000751E9;0x000772C8;0x0007D73F;0x000842C3;0x0008511D;0x0008C268;0x0009CCAF;0x000A8006;0x000C4D54;0x000CCA01;0x000CECC8;0x000D4695;0x000DCAC9,231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252,1;2,22,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
防人,防人,Sentry,O,0,1;2,1;2;3;4;5,0x0000FCD2;0x00043182,353;354,2;3,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
阴阳师,陰陽師,Onmyo Mage,O,0;2,1;2,1;2;3;4;5,0x00000C7F;0x0000EAEC;0x0002BF39;0x0002CB8A;0x0002DF11;0x0002EFD5;0x000301F3;0x00037137;0x0003BA6D;0x00044A5E;0x0005CB58;0x00061495;0x0006343B;0x00065C72;0x00073C48;0x00074AF0;0x0007B808;0x0007E550;0x0008C207;0x00099051;0x000A2ADA;0x000A793F;0x000B52BF;0x000CBE74;0x000D09E6;0x000D1C92;0x000D733D;0x000DBBF9;0x000E4A28;0x000E9039,164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193,1;1.5,30,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
雪入道,雪入道,Snowclops,O,1;3,1;2,1;2;3;4;5,0x0003063C;0x000D4C73,350;352,3,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
雷兽,雷獣,Raiju,O,1,1;2,1;2;3;4;5,0x0005A056,268,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
饿鬼,餓鬼,Gaki,O,0;2,1;2,1;2;3;4;5,0x00000F02;0x0009DB37;0x000F0DC3,293;294;295,1;2,3,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
饿鬼大将,餓鬼大将,Gaki Chief,O,1,1;2,1;2;3;4;5,0x0002298A;0x00081B05,300;481,3,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
鬼火,鬼火,Oni-bi,O,0,1;2,1;2;3;4;5,0x00022F7C;0x0008D221;0x000D651D;0x000E55D2,325;326;327;328,1,4,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
中根正盛,中根正盛,Nakane Masamori,A,4,0,1;2;3;4;5,0x000BB2B0,434,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
丸桥忠弥,丸橋忠弥,Marubashi Chuya,A,4,0,1;2;3;4;5,0x0005D299,427,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
亲鸾,親鸞,Shinran,A,4,0,1;2;3;4;5,0x000C36C2,407,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
伊东一刀斋,伊東一刀斎,Ito Ittosai,A,4,0,1;2;3;4;5,0x0007D28D,398,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
传林坊赖庆,伝林坊頼慶,Denrinbo Raikei,A,4,0,1;2;3;4;5,0x000ED856,435,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
内藤昌丰,内藤昌豊,Naito Masatoyo,A,4,0,1;2;3;4;5,0x0007A8F3,412,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
前田光高,前田光高,Maeda Mitsutaka,A,4,0,1;2;3;4;5,0x0000FD3A,432,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
千眼方术士,千眼の方術士,All-Seeing Mage,A,4,0,1;2;3;4;5,0x00018A22,440,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
土方岁三,土方歳三,Hijikata Toshizo,A,4,0,1;2;3;4;5,0x000367F5,414,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
太原雪斋,太原雪斎,Taigen Sessai,A,4,0,1;2;3;4;5,0x00030852,400,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
山田真龙轩,山田真龍軒,Yamada Shinryuken,A,4,0,1;2;3;4;5,0x00095C9D,430,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
巴御前,巴御前,Tomoe Gozen,A,4,0,1;2;3;4;5,0x0008F3DB,405,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
异想的贝伦加莉亚,奇想のベレンゲラ,Berenguela the Whimsical,A,4,0,1;2;3;4;5,0x0003C00F,437,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
怨嗟武人,怨嗟の武人,Aggrieved Warrior,A,4,0,1;2;3;4;5,0x0002E4BB,413,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
斋藤一,斎藤一,Saito Hajime,A,4,0,1;2;3;4;5,0x000B6202,416,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
斩鬼武士,鬼斬りの武者,Demon Slayer,A,4,0,1;2;3;4;5,0x0008A628,406,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
新选组·服部武雄,新選組・服部武雄,Shinsengumi Member Hattori Takeo,A,4,0,1;2;3;4;5,0x0003AA61,441,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
杉谷善住坊,杉谷善住坊,Sugitani Zenjubo,A,4,0,1;2;3;4;5,0x0004E7C0,399,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
毛利玄达,毛利玄達,Mori Gentatsu,A,4,0,1;2;3;4;5,0x00098E97,431,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
永仓新八,永倉新八,Nagakura Shinpachi,A,4,0,1;2;3;4;5,0x00096029,417,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
河原十郎兵卫,河原十郎兵衛,Kawara Jurobei,A,4,0,1;2;3;4;5,0x000930FE,433,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
泽村保佑,沢村保祐,Sawamura Yasusuke,A,4,0,1;2;3;4;5,0x000A797A,402,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
灵窟修验者,霊窟の修験者,Cavern Ascetic,A,4,0,1;2;3;4;5,0x000CED7D,423,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
炼造武士,錬造武者,Fabricated Warrior,A,4,0,1;2;3;4;5,0x00030EDD,476,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
熊谷直义,熊谷直義,Kumagai Naoyoshi,A,4,0,1;2;3;4;5,0x00076A6F,436,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
田鹤夫人,お田鶴の方,Otazu no Kata,A,4,0,1;2;3;4;5,0x000206C8,424,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
石川五右卫门,石川五右衛門,Ishikawa Goemon,A,4,0,1;2;3;4;5,0x000519EE,401,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
碓井贞光,碓井貞光,Usui Sadamitsu,A,4,0,1;2;3;4;5,0x00046364,425,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
穴山信君,穴山信君,Anayama Nobutada,A,4,0,1;2;3;4;5,0x000EFF45,410,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
穴泽盛秀,穴澤盛秀,Anazawa Morihide,A,4,0,1;2;3;4;5,0x00009553,429,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
绿影剑鬼,緑影の剣鬼,Green Shadow's Blade,A,4,0,1;2;3;4;5,0x000C46FF,438,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
肉户景俊,宍戸景俊,Shishido Kagetoshi,A,4,0,1;2;3;4;5,0x000EC041,404,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
荒木又右卫门,荒木又右衛門,Araki Mataemon,A,4,0,1;2;3;4;5,0x0000EBDF,428,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
