name_zh_CN,name_ja_JP,name_en_US,availability,localization_lookup_keys
大太法师,ダイダラボッチ,Daidara Bocchi,not_in_native_scroll_candidate_table,0x0005367E;0x00061863;0x000EBEBE
天眼孔雀,天眼孔雀,Tengen Kujaku,not_in_native_scroll_candidate_table,0x000CA622
尸狂,屍狂い,Revenant,not_in_native_scroll_candidate_table,0x00036585;0x0007DD0F
德川光圀,徳川光圀,Tokugawa Mitsukuni,not_in_native_scroll_candidate_table,0x00028C12
德川兵,徳川兵士,Tokugawa Soldier,not_in_native_scroll_candidate_table,0x00007363;0x000276B3;0x0002C002;0x0002FBA3;0x00037C8D;0x00037D5A;0x0003C3A5;0x0003D099;0x000467AC;0x0004D191;0x00057887;0x0007260A;0x0007F98F;0x00085902;0x00097791;0x0009BBE3;0x000A06DF;0x000A5F42;0x000A6984;0x000B133C;0x000C475E;0x000C8152;0x000D8409;0x000E5530;0x000EDB21;0x000F19A7
德川士兵,徳川兵士,Tokugawa Soldier,not_in_native_scroll_candidate_table,0x00022704;0x000E5239
德川家康,徳川家康,Tokugawa Ieyasu,not_in_native_scroll_candidate_table,0x0008707C
忍犬,忍犬,Ninken,not_in_native_scroll_candidate_table,0x0001955D;0x000BE49F;0x000CBEA3
成釜狸,成釜狸,Narikama Tanuki,not_in_native_scroll_candidate_table,0x0005569F
托马斯·哥拉巴,トーマス・グラバー,Thomas Glover,not_in_native_scroll_candidate_table,0x000C9CB2
木灵,木霊,Kodama,not_in_native_scroll_candidate_table,0x000A12F3;0x000E7421
松平信纲,松平信綱,Matsudaira Nobutsuna,not_in_native_scroll_candidate_table,0x000B9D8E
松永久秀,松永久秀,Matsunaga Hisahide,not_in_native_scroll_candidate_table,0x000E70F9
楠本稻,楠本イネ,Kusumoto Ine,not_in_native_scroll_candidate_table,0x000B5AF6
榊原康政,榊原康政,Sakakibara Yasumasa,not_in_native_scroll_candidate_table,0x0006F210
武士,武士,Warrior,not_in_native_scroll_candidate_table,0x0003CDAD;0x000ACF61
泥墙,ぬりかべ,Nurikabe,not_in_native_scroll_candidate_table,0x000014AE;0x000ABFA0
源义经,源義経,Minamoto no Yoshitsune,not_in_native_scroll_candidate_table,0x00025BEB;0x0002F9FC;0x00074C70;0x000B0A83
潜影仁之丞,影潜り仁之丞,Jinnosuke the Shadow Slicer,not_in_native_scroll_candidate_table,0x000231FB;0x000416E0
焰虎,焔虎,Enko,not_in_native_scroll_candidate_table,0x0008E155;0x000DD6B9
狗宾,狗賓,Guhin,not_in_native_scroll_candidate_table,0x00035908;0x000DD6F3
狱卒鬼（业风）,獄卒鬼（業風）,Jailer Oni (Hell Wind),not_in_native_scroll_candidate_table,0x0005D5B8
狱卒鬼（八寒）,獄卒鬼（八寒）,Jailer Oni (Cold Hells),not_in_native_scroll_candidate_table,0x000F2527
狱卒鬼（焦热）,獄卒鬼（焦熱）,Jailer Oni (Hellfire),not_in_native_scroll_candidate_table,0x0001361D
狱卒鬼（针山）,獄卒鬼（針山）,Jailer Oni (Needle),not_in_native_scroll_candidate_table,0x000304FC
猫又,猫又,Nekomata,not_in_native_scroll_candidate_table,0x000EDFE5
玛丽亚,マリア,Maria,not_in_native_scroll_candidate_table,0x00010948
琵琶牧牧,琵琶牧々,Biwa Boku-boku,not_in_native_scroll_candidate_table,0x0000E5FA;0x0006C4A1;0x00078575;0x0008DA21;0x000A5493;0x000CC94A;0x000DCDAB
神秘忍者,謎の忍,Mysterious Ninja,not_in_native_scroll_candidate_table,0x000CB875
神秘武士,謎のサムライ,Mysterious Samurai,not_in_native_scroll_candidate_table,0x0001AB11
神鹿,神鹿,Shin-Roku,not_in_native_scroll_candidate_table,0x00074C7F
祟枭,たたりもっけ,Tatarimokke,not_in_native_scroll_candidate_table,0x00059534
空亡,空亡,Death Veil,not_in_native_scroll_candidate_table,0x0000B9FD;0x00085134;0x000AB760;0x000AFF10;0x000DFDEA
红衣女子,赤い衣の女性,Red-clothed Maiden,not_in_native_scroll_candidate_table,0x000B95D9
罗德里戈,ロドリゴ,Rodrigo,not_in_native_scroll_candidate_table,0x00008019
胧车,朧車,Oboroguruma,not_in_native_scroll_candidate_table,0x00011DD8;0x0005D627
蔓铠忍鬼,蔓鎧の忍鬼,Rattan-Clad Ninja Oni,not_in_native_scroll_candidate_table,0x0009178F;0x000BC12A
藤堂平助,藤堂平助,Todo Heisuke,not_in_native_scroll_candidate_table,0x00094465
虎御前,虎御前,Tora Gozen,not_in_native_scroll_candidate_table,0x00071E11;0x000F0B85
西乡隆盛,西郷隆盛,Saigo Takamori,not_in_native_scroll_candidate_table,0x000206B3
豪枪武士,豪槍の侍,Robust Spear Samurai,not_in_native_scroll_candidate_table,0x0004E677;0x000E3621
貉,ムジナ,Mujina,not_in_native_scroll_candidate_table,0x00037111;0x0008D11D;0x000AB90E
酒井忠次,酒井忠次,Sakai Tadatsugu,not_in_native_scroll_candidate_table,0x000D9E64
野狗,野犬,Wild Dog,not_in_native_scroll_candidate_table,0x000E1BBF
金刚狮子,金剛獅子,Kongojishi,not_in_native_scroll_candidate_table,0x0003F452;0x000CA212;0x000D4EAD
金虎鲸,金鯱,Golden Shachi,not_in_native_scroll_candidate_table,0x000AC351;0x000BADD7
静御前,静御前,Shizuka Gozen,not_in_native_scroll_candidate_table,0x00019CD7
鞍马天狗,鞍馬天狗,Kurama Tengu,not_in_native_scroll_candidate_table,0x0003E333
鬼火（水）,鬼火（水）,Maelstrom Oni-bi,not_in_native_scroll_candidate_table,0x000A2ACB
鬼火（火）,鬼火（火）,Infernal Oni-bi,not_in_native_scroll_candidate_table,0x000ED8E5
鬼火（雷）,鬼火（雷）,Thunderstorm Oni-bi,not_in_native_scroll_candidate_table,0x000CEF83
鬼火（风）,鬼火（風）,Galestorm Oni-bi,not_in_native_scroll_candidate_table,0x0003D384
魑魅,魑魅,Sudama,not_in_native_scroll_candidate_table,0x00007B82;0x00037D60;0x000D53AF
龙麻吕,竜麻呂,Tatsumaro,not_in_native_scroll_candidate_table,0x00029A0F;0x000AC3B0
？？？,？？？,???,not_in_native_scroll_candidate_table,0x0001A244
