row_index,lookup_key,name_zh_CN,name_ja_JP,name_en_US,role,class_paths,cost,cost_float32_bits,scratch_rule_key,terrain_mask,playthrough_mask,enabled_playthroughs,linked_group,selector,terrain_discriminator,raw_row_hex
10,0x0005D272,邪马台国兵,邪馬台国兵士,Yamatai Soldier,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,D500000072D20500FFFFFFFF0000004073E2FFFF00001F00010001D8
11,0x00060C91,邪马台国兵,邪馬台国兵士,Yamatai Soldier,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,EB000000910C0600FFFFFFFF000000403ED7FFFF00001F00010001D8
12,0x00066D81,邪马台国兵,邪馬台国兵士,Yamatai Soldier,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,FF000000816D0600FFFFFFFF00000040DAE3FFFF00001F00010001D8
13,0x000A1235,邪马台国兵,邪馬台国兵士,Yamatai Soldier,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,1201000035120A00FFFFFFFF0000004006BFFFFF00001F00010001D8
14,0x0002C4D2,邪马台国兵,邪馬台国兵士,Yamatai Soldier,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,27010000D2C40200FFFFFFFF00000040B935FFFF00001F00010001D8
15,0x000651FC,邪马台国兵,邪馬台国兵士,Yamatai Soldier,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,3C010000FC510600FFFFFFFF000000400461FFFF00001F00010003D8
16,0x0001E927,幕府兵,幕府兵士,Shogunate Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,5701000027E90100FFFFFFFF0000803F62DDFFFF00001F00020000E0
17,0x00084550,幕府兵,幕府兵士,Shogunate Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,6A01000050450800FFFFFFFF0000803F97FCFFFF00001F00020000E0
18,0x000AF0CB,幕府兵,幕府兵士,Shogunate Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,7B010000CBF00A00FFFFFFFF0000803F67C0FFFF00001F00020000E0
19,0x0007B7FD,幕府兵,幕府兵士,Shogunate Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,8B010000FDB70700FFFFFFFF0000803F9B82FFFF00001F00020000E0
20,0x000E937E,幕府兵,幕府兵士,Shogunate Soldier,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,9D0100007E930E00FFFFFFFF0000803F2B96FFFF00001F00020002E0
21,0x000B17EF,幕府兵,幕府兵士,Shogunate Soldier,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,B5010000EF170B00FFFFFFFF0000803FD536FFFF00001F00020002E0
22,0x000CD008,幕府兵,幕府兵士,Shogunate Soldier,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,CF01000008D00C00FFFFFFFF0000803FC932FFFF00001F00020002E0
23,0x0004030D,幕府兵,幕府兵士,Shogunate Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,EA0100000D030400FFFFFFFF0000803FD2DCFFFF00001F00020000E0
24,0x00042335,幕府兵,幕府兵士,Shogunate Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,FE01000035230400FFFFFFFF0000803F0E2FFFFF00001F00020000E0
25,0x000E9105,幕府兵,幕府兵士,Shogunate Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,1002000005910E00FFFFFFFF0000803FC2DEFFFF00001F00020000E0
26,0x00000A49,幕府兵,幕府兵士,Shogunate Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,21020000490A0000FFFFFFFF0000803F7861FFFF00001F00020000E0
27,0x0009C127,幕府兵,幕府兵士,Shogunate Soldier,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,3402000027C10900FFFFFFFF0000803F2931FFFF00001F00020002E0
28,0x000E4C3D,幕府兵,幕府兵士,Shogunate Soldier,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,4D0200003D4C0E00FFFFFFFF0000803F28F8FFFF00001F00020002E0
29,0x000B444D,幕府兵,幕府兵士,Shogunate Soldier,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,680200004D440B00FFFFFFFF0000803FDA8FFFFF00001F00020002E0
30,0x000C784C,幕府兵,幕府兵士,Shogunate Soldier,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,840200004C780C00FFFFFFFF00000040BBADFFFF00001F00020001E0
31,0x0002F4E8,幕府兵,幕府兵士,Shogunate Soldier,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,98020000E8F40200FFFFFFFF000000405D05FFFF00001F00020001E0
32,0x000DEC05,幕府兵,幕府兵士,Shogunate Soldier,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,AA02000005EC0D00FFFFFFFF0000004013F9FFFF00001F00020001E0
33,0x0007FE51,幕府兵,幕府兵士,Shogunate Soldier,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,BB02000051FE0700FFFFFFFF00000040C970FFFF00001F00020001E0
34,0x000567D9,幕府兵,幕府兵士,Shogunate Soldier,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,CE020000D9670500FFFFFFFF000000409F11FFFF00001F00020001E0
35,0x0003D866,幕府兵,幕府兵士,Shogunate Soldier,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,E102000066D80300FFFFFFFF00000040407BFFFF00001F00020003E0
36,0x000B28B2,幕府兵,幕府兵士,Shogunate Soldier,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,FA020000B2280B00FFFFFFFF000000402DD4FFFF00001F00020003E0
37,0x0006673E,幕府兵,幕府兵士,Shogunate Soldier,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,2,0,224,150300003E670600FFFFFFFF0000004090A6FFFF00001F00020003E0
38,0x00017D62,新选组队士,新選組隊士,Shinsengumi Member,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,31030000627D0100FFFFFFFF0000803F2B26FFFF00001F00030000E0
39,0x0005B9BD,新选组队士,新選組隊士,Shinsengumi Member,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,4A030000BDB90500FFFFFFFF0000803FB5C6FFFF00001F00030000E0
40,0x000F281F,新选组队士,新選組隊士,Shinsengumi Member,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,610300001F280F00FFFFFFFF0000803FBDF0FFFF00001F00030000E0
41,0x000274AF,新选组队士,新選組隊士,Shinsengumi Member,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,77030000AF740200FFFFFFFF0000803FCC43FFFF00001F00030000E0
42,0x000769D2,新选组队士,新選組隊士,Shinsengumi Member,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,8F030000D2690700FFFFFFFF0000803F0C6AFFFF00001F00030002E0
43,0x00091E01,新选组队士,新選組隊士,Shinsengumi Member,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,AD030000011E0900FFFFFFFF0000803FE19DFFFF00001F00030002E0
44,0x00051150,新选组队士,新選組隊士,Shinsengumi Member,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,CD03000050110500FFFFFFFF0000803F88A0FFFF00001F00030002E0
45,0x0001F5CD,新选组队士,新選組隊士,Shinsengumi Member,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,EE030000CDF50100FFFFFFFF000000401130FFFF00001F00030001E0
46,0x0002953C,新选组队士,新選組隊士,Shinsengumi Member,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,070400003C950200FFFFFFFF000000404CE7FFFF00001F00030001E0
47,0x0000A4C3,新选组队士,新選組隊士,Shinsengumi Member,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,1E040000C3A40000FFFFFFFF000000400A95FFFF00001F00030001E0
48,0x000987EF,新选组队士,新選組隊士,Shinsengumi Member,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,34040000EF870900FFFFFFFF000000409567FFFF00001F00030001E0
49,0x000C3309,新选组队士,新選組隊士,Shinsengumi Member,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,4C04000009330C00FFFFFFFF00000040C946FFFF00001F00030001E0
50,0x000F203D,新选组队士,新選組隊士,Shinsengumi Member,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,640400003D200F00FFFFFFFF0000004048DCFFFF00001F00030003E0
51,0x0001367D,新选组队士,新選組隊士,Shinsengumi Member,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,820400007D360100FFFFFFFF0000004014E7FFFF00001F00030003E0
52,0x00080174,新选组队士,新選組隊士,Shinsengumi Member,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,3,0,224,A204000074010800FFFFFFFF000000402EC6FFFF00001F00030003E0
53,0x000178D1,旗本武士,旗本,Vassal,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,C3040000D1780100FFFFFFFF0000803FFA02FFFF00001F0004000035
54,0x00029202,旗本武士,旗本,Vassal,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,D604000002920200FFFFFFFF0000803FC3BDFFFF00001F0004000035
55,0x00003A9B,旗本武士,旗本,Vassal,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,E70400009B3A0000FFFFFFFF0000803F6F16FFFF00001F0004000035
56,0x00079974,旗本武士,旗本,Vassal,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,F704000074990700FFFFFFFF0000803FA124FFFF00001F0004000035
57,0x00004143,旗本武士,旗本,Vassal,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,0905000043410000FFFFFFFF0000803F901DFFFF00001F0004000235
58,0x00056DC1,旗本武士,旗本,Vassal,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,21050000C16D0500FFFFFFFF0000803FB47BFFFF00001F0004000235
59,0x000968CC,旗本武士,旗本,Vassal,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,3B050000CC680900FFFFFFFF0000803F1C66FFFF00001F0004000235
60,0x000E2398,旗本武士,旗本,Vassal,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,5605000098230E00FFFFFFFF0000803FFB08FFFF00001F0004000035
61,0x00038869,旗本武士,旗本,Vassal,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,6A05000069880300FFFFFFFF0000803FB157FFFF00001F0004000035
62,0x000F3DCB,旗本武士,旗本,Vassal,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,7C050000CB3D0F00FFFFFFFF0000803F3B04FFFF00001F0004000035
63,0x00026F2B,旗本武士,旗本,Vassal,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,8D0500002B6F0200FFFFFFFF0000803F87E1FFFF00001F0004000035
64,0x000B3B92,旗本武士,旗本,Vassal,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,A0050000923B0B00FFFFFFFF0000803F1454FFFF00001F0004000235
65,0x000AE324,旗本武士,旗本,Vassal,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,B905000024E30A00FFFFFFFF0000803F93DFFFFF00001F0004000235
66,0x00028658,旗本武士,旗本,Vassal,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,D405000058860200FFFFFFFF0000803F7BF6FFFF00001F0004000235
67,0x00058EF8,旗本武士,旗本,Vassal,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,F0050000F88E0500FFFFFFFF00000040C4FEFFFF00001F0004000135
68,0x000CBA8B,旗本武士,旗本,Vassal,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,040600008BBA0C00FFFFFFFF00000040FFEBFFFF00001F0004000135
69,0x000A4267,旗本武士,旗本,Vassal,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,1606000067420A00FFFFFFFF000000400100FFFF00001F0004000135
70,0x000BA5BA,旗本武士,旗本,Vassal,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,27060000BAA50B00FFFFFFFF00000040752CFFFF00001F0004000135
71,0x0004D493,旗本武士,旗本,Vassal,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,3A06000093D40400FFFFFFFF000000408C92FFFF00001F0004000135
72,0x000062BB,旗本武士,旗本,Vassal,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,4D060000BB620000FFFFFFFF000000406174FFFF00001F0004000335
73,0x0003B29F,旗本武士,旗本,Vassal,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,660600009FB20300FFFFFFFF00000040285FFFFF00001F0004000335
74,0x0000971F,旗本武士,旗本,Vassal,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,4,0,53,810600001F970000FFFFFFFF0000004060C9FFFF00001F0004000335
75,0x000AECC1,炼金术师,錬金術師,Alchemist,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,5,0,0,9D060000C1EC0A00FFFFFFFF0000803FC433FFFF00001F0005000000
76,0x0005DDE9,炼金术师,錬金術師,Alchemist,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,5,0,0,AC060000E9DD0500FFFFFFFF0000803FA862FFFF00001F0005000000
77,0x00031286,炼金术师,錬金術師,Alchemist,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,5,0,0,BC06000086120300FFFFFFFF0000803F0F10FFFF00001F0005000000
78,0x0006CC44,炼金术师,錬金術師,Alchemist,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,5,0,0,CE06000044CC0600FFFFFFFF0000803FB184FFFF00001F0005000000
79,0x000CA99B,炼金术师,錬金術師,Alchemist,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,5,0,0,DD0600009BA90C00FFFFFFFF000000404D56FFFF00001F0005000100
80,0x000E45F1,炼金术师,錬金術師,Alchemist,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,5,0,0,EE060000F1450E00FFFFFFFF000000405A39FFFF00001F0005000100
81,0x000E9611,炼金术师,錬金術師,Alchemist,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,5,0,0,0007000011960E00FFFFFFFF00000040A817FFFF00001F0005000100
82,0x00001806,炼金术师,錬金術師,Alchemist,1,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,5,0,0,1407000006180000FFFFFFFF000000408A46FFFF00001F0005000100
83,0x000C2ED1,炼金术师,錬金術師,Alchemist,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,5,0,0,25070000D12E0C00FFFFFFFF00000040DD56FFFF00001F0005000300
84,0x0000F8CD,炼金术师,錬金術師,Alchemist,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,5,0,0,3E070000CDF80000FFFFFFFF00000040C955FFFF00001F0005000300
85,0x000DFA7D,炼金术师,錬金術師,Alchemist,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,5,0,0,580700007DFA0D00FFFFFFFF000000408255FFFF00001F0005000300
86,0x000D7523,炼金术师,錬金術師,Alchemist,3,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,5,0,0,7407000023750D00FFFFFFFF00000040A569FFFF00001F0005000300
87,0x000562F0,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,8D070000F0620500FFFFFFFF0000803F27E1FFFF00001F0006000035
88,0x0004CEE0,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,A6070000E0CE0400FFFFFFFF0000803F7282FFFF00001F0006000035
89,0x000A2213,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,BD07000013220A00FFFFFFFF0000803F3B0CFFFF00001F0006000035
90,0x0005F336,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,D307000036F30500FFFFFFFF0000803FF045FFFF00001F0006000035
91,0x00006354,叛军浪士,反乱軍浪士,Rebel Ronin,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,EB07000054630000FFFFFFFF0000803FAA38FFFF00001F0006000235
92,0x0002298C,叛军浪士,反乱軍浪士,Rebel Ronin,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,090800008C290200FFFFFFFF0000803F6560FFFF00001F0006000235
93,0x000B2BEA,叛军浪士,反乱軍浪士,Rebel Ronin,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,29080000EA2B0B00FFFFFFFF0000803F1610FFFF00001F0006000235
94,0x000D2EDC,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,4A080000DC2E0D00FFFFFFFF0000803FDF60FFFF00001F0006000035
95,0x00064CE7,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,64080000E74C0600FFFFFFFF0000803FCEA6FFFF00001F0006000035
96,0x0008F61C,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,7C0800001CF60800FFFFFFFF0000803FA398FFFF00001F0006000035
97,0x00017C40,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,93080000407C0100FFFFFFFF0000803F5351FFFF00001F0006000035
98,0x0000BBA9,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,AC080000A9BB0000FFFFFFFF0000803FF5D0FFFF00001F0006000035
99,0x000C2B8E,叛军浪士,反乱軍浪士,Rebel Ronin,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,C50800008E2B0C00FFFFFFFF0000803FDC8AFFFF00001F0006000235
100,0x0004F957,叛军浪士,反乱軍浪士,Rebel Ronin,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,E408000057F90400FFFFFFFF0000803F3D08FFFF00001F0006000235
101,0x00033200,叛军浪士,反乱軍浪士,Rebel Ronin,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,0509000000320300FFFFFFFF0000803F70DFFFFF00001F0006000235
102,0x00009A4B,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,270900004B9A0000FFFFFFFF0000803F2B6AFFFF00001F0006000035
103,0x0008CB62,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,4109000062CB0800FFFFFFFF0000803F5F5DFFFF00001F0006000035
104,0x000AC4C4,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,59090000C4C40A00FFFFFFFF0000803F0083FFFF00001F0006000035
105,0x000DEB5D,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,700900005DEB0D00FFFFFFFF0000803F9200FFFF00001F0006000035
106,0x000CC558,叛军浪士,反乱軍浪士,Rebel Ronin,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,6,0,53,8909000058C50C00FFFFFFFF0000803FB846FFFF00001F0006000035
